JargonID,Base,Jargon,Category,Description
TECH001,Array,,Technology,Data structure that contains a group of elements
TECH002,Deadlock,,Technology,A condition where a program cannot access a resource it needs to continue
TECH003,Bootstrap,,Technology,Process that automatically loads and executes command
TECH004,Repository,,Technology,A central file storage location
TECH005,Wrapper,,Technology,Any entity that encapsulates (wraps around) another item
TECH006,Compile,,Technology,Convert program from human-readable source code into an executable file
TECH007,Container,,Technology,Software package that contains everything the software needs to run
TECH008,Deprecate,Deprecated,Technology,Functions or elements that are in the process of being replaced by newer ones
TECH009,Interpreter,,Technology,Program that reads and executes code
TECH010,Deployment,,Technology,The process of making software usable on one or more systems
TECH011,Pseudocode,,Technology,Informal way of describing a program
TECH012,SQL,Structured Query Language,Technology,Query language used to access and modify information in a database
TECH013,Backend,,Technology,Any part of a website or software program that users do not see
TECH014,Encode,Encoding,Technology,Process of converting data from one form to another
TECH015,GUI,Graphical User Interface,Technology,"User interface that includes graphical elements, such as windows, icons and buttons"
TECH016,Index,,Technology,"List of data, such as group of files or database entries"
TECH017,Iteration,,Technology,Repetition of a function or process in a computer program
TECH018,Runtime,,Technology,The time a program runs on a computer or device
TECH019,Frontend,,Technology,The interface design and the programming that makes the interface function
TECH020,Root,,Technology,Top-level directory of a file system
TECH021,Bug,,Technology,An error in a software program
TECH022,Query,,Technology,Question
TECH023,Source Code,,Technology,Text written in a programming language that contains a program's instructions
TECH024,VM,Virtual Machine,Technology,Software that allows you to use one computer operating system with another
TECH025,Algorithm,,Technology,Set of instructions designed to perform a specific task
TECH026,Application,,Technology,Software program that runs on the computer
TECH027,Operating System,,Technology,Software that communicates with the hardware and allows other programs to run
TECH028,Readme,,Technology,Text file that provides some basic documentation for a software program
TECH029,Desktop,,Technology,Primary user interface of a computer
TECH030,Database,DB,Technology,"Structured, organized collection of data stored on a computer system"
TECH031,Text Editor,,Technology,Software application that creates and edits plain text files
TECH032,Software,,Technology,General term that describes computer programs
TECH033,API,Application Programming Interface,Technology,Software that allows computers or applications to communicate with each other
TECH034,Attribute,,Technology,Specification that provides extra information about an element
TECH035,Framework,,Technology,Program or code library or another component for developing software applications
TECH036,Library,,Technology,A collection of pre-written code that programmers often use to save time when writing applications
TECH037,OOP,Object-Oriented Programming,Technology,Programming model that categorizes software design by data (objects) instead of logic and functions
TECH038,Version Control,,Technology,Program that tracks code or file changes to a website or app
TECH039,Comment,,Technology,A comment adds explanatory notes to the code without affecting the document's layout
TECH040,Declaration,,Technology,Statement that introduces identifiers and specifies their properties
TECH041,Element,,Technology,Single component of a larger group
TECH042,Meta Elements,,Technology,Tags part of a website's head section that structure metadata
TECH043,Big Data,,Technology,Set of data that's too large for a traditional processing system to handle
TECH044,Data Architecture,,Technology,The structure that an organization has to collect and store and use its information
TECH045,Database,,Technology,Collection of information that is easily accessible by computers
TECH046,Data Modeling,,Technology,Analyzing a business's requirements for collecting and storing information
TECH047,Load Balancing,,Technology,Distributes tasks across multiple resources
TECH048,Parallel Processing,,Technology,A method of running two or more CPUs to complete separate parts of a task
TECH049,RDMS,Relational Database Management System,Technology,Relational Database Management System - organizes information into tables while maintaining data integrity
TECH050,Volume,,Technology,Total amount of data
TECH051,A/B Testing,,Technology,An experiment that compares the performance of two versions of a website or app
TECH052,Data Mining,,Technology,The practice of analyzing consumer behaviors to optimize marketing campaigns
TECH053,Website Optimization,,Technology,The practice of improving a site's ability to rank in search engines and appeal to users
TECH054,Cache,,Technology,Storage location that gathers temporary data to help websites load faster
TECH055,Core,,Technology,Part of the CPU that performs logical operations and arithmetic
TECH056,Hardware,,Technology,Physical parts of a computer
TECH057,Network,,Technology,Group of computers and other devices
TECH058,RAM,Random Access Memory,Technology,Random-Access Memory - type of data storage that makes data items quickly accessible
TECH059,Volatile Memory,,Technology,A type of data storage that requires power to store information
TECH060,Web Apps,,Technology,Websites that look and function like apps
TECH061,SDK,Software Development Kit,Technology,Collection of tools for creating software
TECH062,NFC,Near Field Communication,Technology,Technology mobile devices use to communicate via radio waves
TECH063,Cloud Computing,,Technology,Method of storing data across remote servers instead of on a local computer
TECH064,DNS,Domain Name System,Technology,Service for accessing a networked computer by its name instead of its IP address
TECH065,Firewall,,Technology,Security device that monitors network traffic and prevents unauthorized access
TECH066,Routers,,Technology,Device that connects two local area networks
TECH067,VPN,Virtual Private Network,Technology,A network that allows you to use public Internet connections as private networks
TECH068,Compress,Compression; Compressed; Compressing,Technology,Reduction of the size of a file
TECH069,Domain,,Technology,A set of computers on a network that are managed as a unit
TECH070,ISP,Internet Service Provider,Technology,Company that provides access to the Internet
TECH071,Malware,,Technology,Malicious software
TECH072,Phising,,Technology,A type of email fraud in which the perpetrator sends out emails that appear to come from a legitimate service or reputable company
TECH073,SSL,Secure Sockets Layer,Technology,Protocol that allows Internet users to send encrypted messages across the Internet
TECH074,SEO,Search Engine Optimization,Technology,The practice of making adjustments to certain aspects of a website in an effort to improve its ranking on search engines
